Município,Província
Manzanares,Ciudad Real
Maqueda,Toledo
Marbella,Málaga
Marchena,Sevilha
Marmolejo,Jaén
Medina Sidonia,Cádiz
Membrilla,Ciudad Real
Mengíbar,Jaén
Mérida,Badajoz
Miajadas,Cáceres
Mijas,Málaga
Millanes,Cáceres
Mollina,Málaga
Monesterio,Badajoz
Montilla,Córdoba
Montoro,Córdoba
Monturque,Córdoba
Moraleda de Zafayona,Granada
Moraleja de Enmedio,Comunidade de Madrid
Móstoles,Comunidade de Madrid
Motril,Granada
Navalcarnero,Comunidade de Madrid
Navalmoral de la Mata,Cáceres
Nerja,Málaga
Nigüelas,Granada
Noalejo,Jaén
Ocaña,Toledo
Ogíjares,Granada
Oliva de la Frontera,Badajoz
Ontígola,Toledo
Oropesa,Toledo
Osuna,Sevilha
Otero,Toledo
Padul,Granada
Palomares del Río,Sevilha
Paradas,Sevilha
Paymogo,Huelva
Pedrera,Sevilha
Pedro Abad,Córdoba
Pegalajar,Jaén
Peligros,Granada
Pepino,Toledo
Peraleda de la Mata,Cáceres
Pinos Puente,Granada
Pinto,Comunidade de Madrid
Pozuelo de Alarcón,Comunidade de Madrid
Puebla de Guzmán,Huelva
Puebla de Sancho Pérez,Badajoz
Puerto de Santa Cruz,Cáceres
Puerto Lápice,Ciudad Real
Puerto Real,Cádiz
Puertollano,Ciudad Real
Pulianas,Granada
Quismondo,Toledo
Rincón de la Victoria,Málaga
Romangordo,Cáceres
Rosal de la Frontera,Huelva
Salar,Granada
Salobreña,Granada
Salteras,Sevilha
San Bartolomé de la Torre,Huelva
San Juan de Aznalfarache,Sevilha
San Juan del Puerto,Huelva
San Pedro de Mérida,Badajoz
San Roque,Cádiz
San Silvestre de Guzmán,Huelva
Sanlúcar de Guadiana,Huelva
Santa Amalia,Badajoz
Santa Bárbara de Casa,Huelva
Santa Cruz de la Sierra,Cáceres
Santa Cruz de Mudela,Ciudad Real
Santa Cruz del Retamar,Toledo
Santa Elena,Jaén
Santa Fe,Granada
Santa Olalla del Cala,Huelva
Santa Olalla,Toledo
Santiponce,Sevilha
Santo Domingo-Caudilla,Toledo
Saucedilla,Cáceres
Serranillos del Valle,Comunidade de Madrid
Seseña,Toledo
Sevilha,Sevilha
Talavera de la Reina,Toledo
Talavera la Real,Badajoz
Tembleque,Toledo
Torralba de Oropesa,Toledo
Torrecillas de la Tiesa,Cáceres
Torrejón de Velasco,Comunidade de Madrid
Torremejía,Badajoz
Torremolinos,Málaga
Torrox,Málaga
Trujillanos,Badajoz
Trujillo,Cáceres
Umbrete,Sevilha
Utrera,Sevilha
Valdepeñas,Ciudad Real
Valencia del Mombuey,Badajoz
Valmojado,Toledo
Vélez de Benaudalla,Granada
Vélez-Málaga,Málaga
Villa de Otura,Granada
Villa del Río,Córdoba
Villablanca,Huelva
Villafranca de Córdoba,Córdoba
Villafranca de los Barros,Badajoz
Villamena,Granada
Villamesías,Cáceres
Villanueva de Córdoba,Córdoba
Villanueva de la Reina,Jaén
Villanueva de la Serena,Badajoz
Villanueva de los Castillejos,Huelva
Villanueva del Rosario,Málaga
Villanueva del Trabuco,Málaga
Villarrasa,Huelva
Villarta de San Juan,Ciudad Real
Viso del Marqués,Ciudad Real
